Light intensity 1%,,,,Light Intensity 3%,,,,Light Intensity 10%,,,,Light Intensity 16%,,,,Light Intensity 25%,,,,Light Intensity 32%,,,,Light Intensity 40%,,,,Light Intensity 50%,,,,Liight Intensity 63%,,,,Light Intensity 79%,,,,Light Intensity 93%,,,,Light Intensity 100%,,,,
Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,
6.45E-01,-1.69E-05,,,6.45E-01,-3.58E-05,,,6.45E-01,-1.20E-04,,,6.45E-01,-1.65E-04,,,6.45E-01,-2.69E-04,,,6.45E-01,-3.68E-04,,,6.45E-01,-4.56E-04,,,6.45E-01,-5.40E-04,,,6.45E-01,-6.75E-04,,,6.45E-01,-8.24E-04,,,6.45E-01,-9.69E-04,,,6.45E-01,-1.04E-03,,,
6.80E-01,-1.66E-05,,,6.80E-01,-3.57E-05,,,6.80E-01,-1.19E-04,,,6.80E-01,-1.65E-04,,,6.80E-01,-2.69E-04,,,6.80E-01,-3.69E-04,,,6.80E-01,-4.55E-04,,,6.80E-01,-5.38E-04,,,6.80E-01,-6.73E-04,,,6.80E-01,-8.24E-04,,,6.80E-01,-9.71E-04,,,6.80E-01,-1.03E-03,,,
7.14E-01,-1.61E-05,,,7.14E-01,-3.56E-05,,,7.14E-01,-1.19E-04,,,7.14E-01,-1.65E-04,,,7.14E-01,-2.69E-04,,,7.14E-01,-3.69E-04,,,7.14E-01,-4.53E-04,,,7.14E-01,-5.38E-04,,,7.14E-01,-6.71E-04,,,7.14E-01,-8.18E-04,,,7.14E-01,-9.64E-04,,,7.14E-01,-1.03E-03,,,
7.49E-01,-1.57E-05,,,7.49E-01,-3.53E-05,,,7.49E-01,-1.18E-04,,,7.49E-01,-1.64E-04,,,7.49E-01,-2.66E-04,,,7.49E-01,-3.66E-04,,,7.49E-01,-4.51E-04,,,7.49E-01,-5.35E-04,,,7.49E-01,-6.68E-04,,,7.49E-01,-8.14E-04,,,7.49E-01,-9.59E-04,,,7.49E-01,-1.02E-03,,,
7.84E-01,-1.48E-05,,,7.84E-01,-3.48E-05,,,7.84E-01,-1.18E-04,,,7.84E-01,-1.62E-04,,,7.84E-01,-2.66E-04,,,7.84E-01,-3.65E-04,,,7.84E-01,-4.51E-04,,,7.84E-01,-5.32E-04,,,7.84E-01,-6.64E-04,,,7.84E-01,-8.15E-04,,,7.84E-01,-9.57E-04,,,7.84E-01,-1.02E-03,,,
8.18E-01,-1.33E-05,,,8.18E-01,-3.37E-05,,,8.18E-01,-1.17E-04,,,8.18E-01,-1.61E-04,,,8.18E-01,-2.64E-04,,,8.18E-01,-3.62E-04,,,8.18E-01,-4.47E-04,,,8.18E-01,-5.30E-04,,,8.18E-01,-6.61E-04,,,8.18E-01,-8.04E-04,,,8.18E-01,-9.50E-04,,,8.18E-01,-1.01E-03,,,
8.53E-01,-9.97E-06,,,8.53E-01,-3.09E-05,,,8.53E-01,-1.13E-04,,,8.53E-01,-1.59E-04,,,8.53E-01,-2.60E-04,,,8.53E-01,-3.57E-04,,,8.53E-01,-4.41E-04,,,8.53E-01,-5.22E-04,,,8.53E-01,-6.54E-04,,,8.53E-01,-7.94E-04,,,8.53E-01,-9.34E-04,,,8.53E-01,-9.96E-04,,,
8.88E-01,-2.06E-06,,,8.88E-01,-2.37E-05,,,8.88E-01,-1.07E-04,,,8.88E-01,-1.50E-04,,,8.88E-01,-2.50E-04,,,8.88E-01,-3.47E-04,,,8.88E-01,-4.29E-04,,,8.88E-01,-5.10E-04,,,8.88E-01,-6.37E-04,,,8.88E-01,-7.75E-04,,,8.88E-01,-9.08E-04,,,8.88E-01,-9.69E-04,,,
9.22E-01,1.46E-05,,,9.22E-01,-7.47E-06,,,9.22E-01,-8.95E-05,,,9.22E-01,-1.33E-04,,,9.22E-01,-2.30E-04,,,9.22E-01,-3.23E-04,,,9.22E-01,-4.03E-04,,,9.22E-01,-4.80E-04,,,9.22E-01,-5.99E-04,,,9.22E-01,-7.33E-04,,,9.22E-01,-8.69E-04,,,9.22E-01,-9.19E-04,,,
9.57E-01,5.05E-05,,,9.57E-01,2.70E-05,,,9.57E-01,-5.10E-05,,,9.57E-01,-9.15E-05,,,9.57E-01,-1.85E-04,,,9.57E-01,-2.75E-04,,,9.57E-01,-3.47E-04,,,9.57E-01,-4.21E-04,,,9.57E-01,-5.33E-04,,,9.57E-01,-6.53E-04,,,9.57E-01,-7.75E-04,,,9.57E-01,-8.15E-04,,,
9.92E-01,1.22E-04,,,9.92E-01,9.97E-05,,,9.92E-01,2.84E-05,,,9.92E-01,-8.61E-06,,,9.92E-01,-9.51E-05,,,9.92E-01,-1.71E-04,,,9.92E-01,-2.36E-04,,,9.92E-01,-3.02E-04,,,9.92E-01,-4.02E-04,,,9.92E-01,-5.04E-04,,,9.92E-01,-6.02E-04,,,9.92E-01,-6.40E-04,,,
1.03E+00,2.59E-04,,,1.03E+00,2.34E-04,,,1.03E+00,1.72E-04,,,1.03E+00,1.40E-04,,,1.03E+00,6.77E-05,,,1.03E+00,4.44E-06,,,1.03E+00,-5.01E-05,,,1.03E+00,-1.05E-04,,,1.03E+00,-1.83E-04,,,1.03E+00,-2.64E-04,,,1.03E+00,-3.40E-04,,,1.03E+00,-3.70E-04,,,
1.06E+00,4.78E-04,,,1.06E+00,4.52E-04,,,1.06E+00,4.03E-04,,,1.06E+00,3.76E-04,,,1.06E+00,3.16E-04,,,1.06E+00,2.69E-04,,,1.06E+00,2.28E-04,,,1.06E+00,1.87E-04,,,1.06E+00,1.27E-04,,,1.06E+00,6.10E-05,,,1.06E+00,4.97E-06,,,1.06E+00,-1.64E-05,,,
1.10E+00,7.86E-04,,,1.10E+00,7.58E-04,,,1.10E+00,7.20E-04,,,1.10E+00,7.02E-04,,,1.10E+00,6.50E-04,,,1.10E+00,6.23E-04,,,1.10E+00,5.93E-04,,,1.10E+00,5.64E-04,,,1.10E+00,5.17E-04,,,1.10E+00,4.69E-04,,,1.10E+00,4.31E-04,,,1.10E+00,4.18E-04,,,
1.13E+00,1.19E-03,,,1.13E+00,1.16E-03,,,1.13E+00,1.13E-03,,,1.13E+00,1.12E-03,,,1.13E+00,1.07E-03,,,1.13E+00,1.06E-03,,,1.13E+00,1.04E-03,,,1.13E+00,1.02E-03,,,1.13E+00,9.77E-04,,,1.13E+00,9.47E-04,,,1.13E+00,9.22E-04,,,1.13E+00,9.15E-04,,,
1.17E+00,1.65E-03,,,1.17E+00,1.61E-03,,,1.17E+00,1.60E-03,,,1.17E+00,1.59E-03,,,1.17E+00,1.55E-03,,,1.17E+00,1.55E-03,,,1.17E+00,1.54E-03,,,1.17E+00,1.53E-03,,,1.17E+00,1.50E-03,,,1.17E+00,1.48E-03,,,1.17E+00,1.47E-03,,,1.17E+00,1.47E-03,,,
1.20E+00,2.16E-03,,,1.20E+00,2.12E-03,,,1.20E+00,2.11E-03,,,1.20E+00,2.10E-03,,,1.20E+00,2.06E-03,,,1.20E+00,2.09E-03,,,1.20E+00,2.08E-03,,,1.20E+00,2.08E-03,,,1.20E+00,2.05E-03,,,1.20E+00,2.05E-03,,,1.20E+00,2.05E-03,,,1.20E+00,2.05E-03,,,
